,Time to Merge (Hours),Comments,Reviews,Total Changes
Time to Merge (Hours),1.0,0.27120372302277634,-0.034999310629585015,0.1706979808841351
Comments,0.27120372302277634,1.0,-0.05687166856226416,-0.07343300380350243
Reviews,-0.034999310629585015,-0.05687166856226416,1.0,0.03326027851585458
Total Changes,0.1706979808841351,-0.07343300380350243,0.03326027851585458,1.0
